Country,Unique.Line.ID,Comment
Japan,J16JP10879-8.2,"The product is easy to use. Compared to other brands, the product value is not high. After-sales service is not sufficient."
India,IND0076.2,"this machine is easy to handle, with durable softwares and result-oriented. the output obtained has high picture quality. "
Brazil,BZA00124.1,The machine that we are using generates good image quality and is capable of generating a multiple image. The reason for this classification is that it is difficult to understand. 
USA,J16US16791-27.1,Great choices in capabilities None at all
UK,J16UK11990-8.1,Superb imaging quality  easy to use ergonomic TOE probe QLAB not very user friendly and not progressing of other companies  prone to faults
USA,J16US13668-6.1,Image quality is exceptional; transfer of imaging to software/servers is seamless 
USA,J16US16703-6.2,"Innovative, strikingly good image quality none"
USA,J16US16518-2.1,"Products are reliable, easy to use and integrate well with other provider pacs and inform?tica systems; good good service dept. "
India,INE078.1,The equipment and the accessories that come along with it allow imaging of all patient types efficiently. 
Brazil,BZC406.1,Gives options to expand the clinical capabilities and reducing the cost of ownership. 
USA,J16US11785-1.2,Phillips brand has been around for a long time.  It's a very durable and usageble piece of equipment. It does what it was made to do. 
China,CNE0068.2,I had used Siemens DSA instrument in other hospital. The operation is easy and the failure rate is low. The feedback from my peers are good. So the rating is high.  
China,CNB0135.1,The operation is simple. The machine uses innovative technology. The image definition and resolution are high. The performance is consistent. It doesn't encounter problems often during normal usage. The after-sales service is quite good. 
UK,J16UK11660-8.1,"User friendly and easy to use, reliable and durable. "
Germany,J16DE10422-1.2,"Durable equipment reliable, good image quality. Somewhat cumbersome menu navigation, request not answered."
Germany,J16DE10643-6.1,"Dependable equipment constellation, outstanding image quality, good service, broad range of indications ""Less popular"" in handling than Siemens among medical technicians."
Germany,J16DE13043-1.2,None 
Germany,J16DE10351-5.1,"Works reliably, good and fast service and very innovative products. Expensive, little flexibility in cooperation; product is very complex, the software is intended for radiologists, it is very difficult to explain to a nurse where she has to push... Menu seems overloaded and awkward... C-arches are fully overloaded."
UK,J16UK10427-9.2,Solid machine with fair image quality Not as good as ge
Germany,J16DE12073-15.2,Runs stably. 
China,CNC0019.3,imaging is stable and developing agent is not used a lot. Patient had good endurance and cost is not high. it can be expanded for wide usage. 
Germany,J16DE11322-4.1,"The unit is CT Force. Outstanding image quality and good workflow. It offers good iterative reconstruction options. Good dose reduction, particularly in children. "
Germany,J16DE10048-2.1,"No clearance. Tried to integrate with other systems. System is counterintuitive. Known, addressed problems are not solved."
Japan,J16JP10180-8.2,"We have used it for the longest time and because its newly introduced technology is very innovative, it is highly possible that we will recommend it.  0"
USA,J16US10396-4.2,Good reliable image quality and priced very fairly Difficult for the technologist's to get accustomed to using
Brazil,BZB63.3,"Samsung, have not been used for a long time. We use only if one of the major equipment is damaged "
Japan,J16JP11489-9.1,The display is easy to understand and it is easy to use. The equipment is large and it is difficult to carry around.
Japan,J16JP12297-24.2,"The cost performance is extremely good. Output is low, and image quality is a problem. It is not durable."
Japan,J16JP11430-5.1,"It has good mobility and relatively good images, and in addition I am used to using it. 0"
Germany,J16DE11237-5.2,"We no longer have it. Therefore, I cannot answer this question. It is difficult to move."
Germany,J16DE13284-25.1,"Good performance, easy to use, good image quality. Very little innovation."
Japan,J16JP10234-3.1,"Compared to Toshiba products we used to have, it requires no repairs. It is very reliable and it works as it should. Compared to Toshiba's products we compared with at the time of selecting a model, I think that this equipment's image quality is slightly inferior."
Germany,J16DE11251-27.2,"Good image quality at a low radiation dose, good assessment software. Delayed reaction times for service."
Germany,J16DE10859-15.1,"For everything related to simple use, Philips is unsurpassed in this area. Navigation and operation are always intuitive. The manufactured quality is always very good. Even years later, the components and equipment still work perfectly (aside from maintenance). Price."
India,INF155.1,We are not satisfied with this machine as it is old and applications are to upgraded. Service is on time and sincere. The technology also to be updated. 
Brazil,BZC436.2,"Effective, designed to meet the challenges of the patient. "
USA,J16US11474-9.2,"Good price, support, interface, and quality of images "
Germany,J16DE10765-6.1,"Has the best price-performance ratio, best service; it is the most reliable one. "
Germany,J16DE10041-9.2,"Good service, good overall package. "
India,INC0007.1,ge's commitment and innvative solution serves a wide range of healthcare instruments and ge healthcare brivo ct325. improving the quality of healthcare around the world is a goal. 
Japan,J16JP10280-6.1,"Because their products are made in Japan, they are easy to maintain. Because the company sold their healthcare department to Cannon due to a scandal, I am not sure what the future holds for that company."
China,CNE0465.3,"They take the initiative in providing explanations and enthusiastic service. The images are very clear. It is very durable. It has a coherent work flow with simple operation, and the manufacturer has a good reputation.  "
China,CNE0326.1,"I have contact with it at work. It is reliable and provides convenience for clinical practice. I feel no discomfort while using it. It provides convenience silently. Very few malfunctions, and is easy for work.  "
USA,J16US14847-16.1,Good vascular imaging Expensive
UK,J16UK10752-8.2,Excellent image quality and nice user interface. Innovative company Higher pricing structure than competitor
USA,J16US11983-26.2,decent machine and awesome service nothing really
USA,J16US11608-27.2,Great image quality not user friendly
Germany,J16DE12311-4.1,Rapid without impairment of the image quality. Expensive.
USA,J16US13441-2.2,Rotational digitital subtraction Angio Lack of bone detail and limited angles
USA,J16US13462-3.1,Easy to use Difficult to adjust protocols
China,CNE0506.3,"The scanning of 1.5TMRI is fast and with low noise. The attitude of after-sale staffs is good and they often come to us for products update. Therefore, I will strongly recommend the device. "
UK,J16UK10168-9.1,"Easy to use, portable, versatile for IV access and anatomical ultrasonography. Maintenance/replacement took significant period of time."
India,INE600.1,"It is highly sustainiable and high performance ultrasound system that offers unique solutions, such as elastography imaging, multi-modality review and enhanced contrast. "
USA,J16US13229-9.1,"Easy to use, reliable, technology isn't very complicated, integrates well into my work flow Image quality is not the best"
China,CNA0034.4,images are taken clearly.The POST function of the machine is fast. The core of the tube of the machine is easy to be burnt. 
USA,J16US14473-5.1,good images still could be easier to manipulate
Japan,J16JP11295-6.1,"Images are relatively clear, but it takes a long time to produce them.Maintenance cost is inexpensive. The image resolution is not good."
Japan,J16JP11162-9.2,The quality of the medical equipment they provide is extremely high. It is a problem that they are a foreign manufacturer.
China,CNE0658.2,I haven't tried it before. Therefore I know nothing about the quality and I'd better not make any comments. Siemens is also an international brand. The quality should be good and the service should be good as well.  
Brazil,BZA00182.2,Brilliance CT scan of the Philips is highly efficient with an affordable price. 
USA,J16US15611-5.2,Don't know about this just know it is in use JDon't know about this just know it is in use
India,IND00145.3,this product has interactive user-interface introducing more sophistication in the operation aspects. 
USA,J16US11315-15.1,Excellent picture quality and very durable 
UK,J16UK10307-2.1,Quick reply and reliable solutions None relevant
Japan,J16JP11597-2.2,"I used it in a hospital I used to work in, but that was more than 20 years ago, so I don't think it is relevant. I used it in a hospital I used to work in, but that was more than 20 years ago, so I don't think it is relevant."
USA,J16US12959-5.1,Machine is easy to use and teach residents with.  It is reliable and durable. none
Germany,J16DE10932-2.2,"Quality characteristic, particularly the customer service reps, loyalty, solution-oriented in the office, if customers have questions or provide for us customers support. "
France,J16FR11589-1.2,Good product with the option to reduce the irradiation exposure. Value for money 
India,IND0077.2,"it is a fully integrated system which offers excellent image quality, and doubt-free results. it is enabled with 3d view which makes it grade high. "
France,J16FR10591-4.2,They are the best in terms of efficiency. 
China,CND0532.2,The system and the software function are both quite good. The design is suitable for practical use so it is very easy to use. The post processing function is quite good and the imaging is good. 
Brazil,BZA0050.2,The real time for the cardiac 4D images is one of the best features that GE has added in this unit. It is good in overall performance. 
USA,J16US15633-25.2,seems to provide best images technical support best in the business
USA,J16US10467-3.2,decent image quality difficult integration with PACS hate the kernel system
Germany,J16DE11999-25.1,"Very simple to use, good usability. None."
Japan,J16JP11912-1.1,"They are a trustworthy company and they offer many excellent products. Recently there was a change in the company's capital, and they are economically unstable."
China,CND0223.1,The technology is advanced and the quality is good. There are some minor issues when using it. The interface is in English which makes it not very convenient as we don't know some of the words. The after-sales service is not bad as they can arrive quickly to fix the problems. 
USA,J16US16533-15.2,IT IS OK.  GE IS MORE INTERESTED IN SELLING CT AND MR NONE
China,CNB0227.3,it's convenient to use and operation is simple. Software is well-designed and performance is stable. Failure rate is low and there's not many problems normally so it's cost effective. 
Japan,J16JP11082-8.2,"They offer a good support service, and they can be reached right away when there is a problem, which I am grateful for. ?"
USA,J16US14016-16.1,"Technology is easy to use, with good image quality. Minimal repairs The cost is competitive, would like it cheaper"
Japan,J16JP12122-24.1,"Maintenance is prompt and good, there is a large data capacity, and images appear quickly. They cannot respond to customer needs and can only offer equipment of a set standard."
India,INE260.1,Provides more informative information. 
Germany,J16DE10160-2.1,On-site service is good. Technically better solutions.
France,J16FR10295-8.1,Very good image Rather fragile.
India,INA00119.2,device works well without constant hangs. we like them and their productivity 
Germany,J16DE12863-16.1,None 
China,CND0033.1,The probe is flexible. It’s a good design! It has clear imaging and stable performance. I have used the main components for a long time and it still works well. 
UK,J16UK11169-4.1,Good quality imaging and ongoing support N/a
Japan,J16JP11003-6.1,"It has the latest technology directly linked to clinical use, such as the Cube, which is very useful for identifying the location of the ruptured aneurysm causing a subarachnoid hemorrhage. 0"
France,J16FR10215-8.1,"Very good device, reliable and resistant Price"
USA,J16US11359-2.2,Best interventional table great monitor 
USA,J16US15217-27.1,"excellent quality, high resolution cost factor"
China,CNE0614.1,"it's a recommended brand when the hospital were upgrading our device, and I used it during training, the experience was satisfied and they have professional after-sales services. I'm not familiar with other brands, for example, different results came out for patient on bed No.10 in ward 14. "
USA,J16US15944-27.2,Attempts to imitate ease of use of philips Not as user friendly as other brands
India,ING0027.2,"Accuracy and quality of picture is very good, they have the products with  low maintenance . "
India,INA0039.1,it gives better imaging quality with minimum ratio of failure. they gives highly optimized equipments. they have good reputations in c - arm equipments. 
USA,J16US16549-6.1,"Excellent image quality, good throughput, user friendly Difficult to work with salespeople and ""nickel and dime"" approach to getting equipment purchased"
Japan,J16JP10050-3.1,"A wide range of imaging (FOV). MPR processing time, especially detailed image processing for otological diagnosis."
Germany,J16DE10708-6.2,Tailored to our needs. Good image quality Pricing is difficult to understand.
Germany,J16DE11037-1.2,"Good image quality, very good service "
China,CNA0041.1,The machine produces very little noises when in use. CT scan covers wide area. staff from the company provide good service. 
China,CNE0224.3,"Convenient operation, reliable and great performance, low failure rate. When conducting examinations for patients, the speed is fast and the imaging is clear. So it brings good user experience to medical professionals and patients.  "
Brazil,BZC716.2,The machine is affordable. The image quality is not very good. It definitely needs to be improved. 
Germany,J16DE10064-8.1,"Network ready, easy to use, positive access to network. Price"
Japan,J16JP10534-6.2,The price and maintenance cost are not expensive. The images are not as good as those of foreign companies' machines.
USA,J16US12977-27.2,cheap noisy images; poor resolution
France,J16FR11306-9.1,"Easy to use, entire gynecology obstetrics team has similar opinion as do the other structures. No training support, we do not take advantage of all the technical possibilities of the devices."
Japan,J16JP12120-24.1,"I cannot think of anything in particular, but CT scanners with 16 detector rows or less do not suit today's examination systems. 0"
India,INE211.3,This machine is gives extremely good quality images . It has significantly improved our department workflow. 
India,ING0066.2,"IMAGES IS GOOD, EASY TO OPERATE, IMAGE CLEARITY IS BEST, WHEN WE SEE ON SCREEN IT SHOWS CLEAR IMAGE "
UK,J16UK10916-8.2,Good quality ultrasound devices None specific
USA,J16US10118-8.2,service was provided on same day as requested  technician was helpful and friendly none
India,INF176.1,I have experienced working with Siemens CT and it is a very good machine. It is very comfortable and easy to understand and operate. Comfortable for patients too. Service is mostly on-time. 
Germany,J16DE10099-5.1,"The overall handling is good. While performing fluoroscopy the images react much lower, which can make interlocking hands-free implant very annoying."
India,INA0077.2,"3d-cpr image quality is very well, perfect result "
China,CNA0128.1,The machine has POST function to guarantee normal operation.The image quality is good. The machine gets hot after being used for long hours. 
USA,J16US14973-8.1,Good image quality and price Equipement is a bit fragile.
Germany,J16DE10123-5.1,"Reliability, ease of use, good resolution. "
Brazil,BZC00044.2," The products gives a good clinical performance, but stays in service of other brands "
China,CND0155.1,The design is compact. It is not demanding in terms of system resources. The bed frame is easy to be moved too. However the length of the bed board is not long enough and the maintenance fee is also expensive.  
UK,J16UK10206-16.2,Don't know as not currently using None.
Japan,J16JP12488-24.1,"Compatibility with other systems is necessary. Nothing in particular, but it is not appropriate for a public hospital to use too much equipment from just one manufacturer."
Japan,J16JP10659-9.2,Images are relatively clear. The sales representative did not have a good understanding of the use of the equipment in urology.
India,INF195.1,Philips is a very good brand. Its CT machine is highly reliable on the images. Its Pricing is reasonable. This machine is being recommended by many doctors. 
China,CNE0099.1,"The price is reasonable. The product quality is reliable. The operation is easy and convenient. The after-sales service is perfect. The corresponding vocational training is available...This CT model is currently one of the top spiral CT in the world. It can achieve 64 layers 0.6mm thin layer acquisition, fast scanning speed and a large scanning range. It takes 0.33 seconds to rotate one circle. It can generate 128 layers of images and cover a range of 4 cm.        In cardiovascular applications, it is noninvasive, efficient, accurate, and three-dimensional. It only takes 5s to 8s to do a coronary heart scan. It significantly reduces the patient's breath-hold time. The success rate of coronary radiography is high and the image quality is great. "
France,J16FR10407-8.2,"Very innovative, correct performance "
USA,J16US14700-6.2,Quality imaging less reliable customer service.  expensive
Germany,J16DE11513-15.1,Good image quality. Unsatisfactory service.
Germany,J16DE12078-4.1,Very user-friendly and dependable units. 
India,INE126.1,The image quality is fine but the design and dose efficiency of the system can be improved. 
China,CNB0080.1,The scanning is quite efficient. It generates images quite fast. The performance of the machine stable so it is quite reliable and there aren't many hassles with it. 
USA,J16US10103-4.1,They are always available to help either by phone or in person We have not had any negative experience to date
China,CND0315.1,The image is very clear and the operation is quite easy. The sensitivity is average. The failure rate is not high. It is durable. There are no problems in operating the instrument. The after-sales service is good.  
USA,J16US10619-6.2,None Very little experience with this beand
India,INF031.2,I am happy with GE DXR machine as it delivers Images with high resolution. Image capturing time is also less and hence more patient flow is being ensured. 
Germany,J16DE11490-9.1,"Very good image quality, easy to operate, good connection to ViewPoint interface. None."
USA,J16US15686-27.2,"Good service, product, image quality. none"
France,J16FR11412-9.1,"Reliable material, attentive associates. "
USA,J16US11419-2.1,"Best quality images, ease of use of the equipment, and great follow-up about their products. Occasionally, difficult to reach service in an emergency."
USA,J16US16520-15.2,GOOD IMAGE QUALITY AND PRICING STILL NOT GREAT FOR OBESE PATIENTS
UK,J16UK11422-1.1,Good repair response times Constantly breaking down. New lab image quality is terrible and unimproved despite multiple repairs
Germany,J16DE10446-16.2,"Good operation, good experience overall, reliable. Nothing."
Japan,J16JP10666-9.1,"Images are sharp, it is easy to use, and the image analysis capability is high. It is also easy to save data. 0"
Germany,J16DE10063-15.1,"Simple operation, good resolution, good value for money, good service for our doctors. No observations really, easy controls."
USA,J16US11658-9.2,Excellent images but not quite as good as GE cost
Japan,J16JP10475-9.1,"Image quality is good. They offer quick responses such as repairs. They respond quickly to our requests such as change of settings, etc. 0"
USA,J16US11983-4.2,"its been reliable tough to use, sometimes customer service is just the worst"
Japan,J16JP10063-9.2,I think the machine is great for cardiovascular organs. The images seem inferior to those of other companies' machines for nerve blocks and vascular accesses.
Brazil,BZA0085.3,This machine has great features. 
India,INF095.4,GE brand is reputed in all the medical device areas. We are happy with their service. They attend the calls on time. Patient comfortness is good. It takes time for image construction. 
Japan,J16JP10999-9.2,The equipment rarely requires repair and usability is also good so one can use it with confidence. 0
UK,J16UK10891-9.1,"The best thing about Sonosite, without any doubt, is the durability of their probes. Extremely resistant, which is very important in an anesthesia setting. Not the best quality of image"
China,CNE0293.2,"Use the industry leading tablet hd detector, DFS dynamic flying focus double sampling bulb and iDose Premium iterative platform three core hardware bring you the good image with the micro radiation doses. It better reflects the care of patients and at the same time provides the diagnosticians four times of the diagnostic information which can be provide by the conventional CT imaging . "
China,CNB0198.3,"The image definition is good, but the performance is poor. Sometimes it will encounter problems. The probe breaks easily, so it needs to be changed very often. The operation is not smooth and the response and scanning speeds are slow. "
India,INE038.4,The transducers are powerful and offer good penetration levels. The contrasting is well defined and allows us to get clearer pictures. 
UK,J16UK12210-8.1,"Quality machines, great support, integration with systems Too many controls"
USA,J16US16549-6.2,"Low price Poor image quality, poor service"
China,CND0228.3,It is not easy to calibrate it. The after-sales service needs to provide more training. The after-sales service is easy as there are many service centers which makes it easy to find one. And they are able to come quickly to solve the problem. The failure rate is acceptable considering how much we use it. 
USA,J16US13648-9.2,Great features Complicated interface
France,J16FR10088-8.1,Very intuitive utilization A little expensive and necessary to update to use different probes (notably ETO)
India,INF038.3,Siemens MRI we have presents good performance. It has very good Image resolution and it's reconstruction time is good. This helped in increased productivity. 
USA,J16US11509-16.1,Average in most categories Average in most categories but pretty expensive the last time I checked compared to competition
Japan,J16JP10377-4.1,Highly functional machines with good images.  User-friendly. The problem is that they are expensive.
Japan,J16JP11992-5.1,0 Usability is poor. It frequently breaks down. It is old equipment so the image quality has clearly deteriorated.
Japan,J16JP10194-8.1,It offers the most superior technology such as 3D imaging and animation.  It also starts up quickly.It is easy to use. 0
China,CNA0040.1,it's convenient to take images of multiple parts of human body from multiple angles.The machine takes images fast. machine is not stable. 
India,INE537.3,It is highly digitalized system which increases patient throughput through automatic image enhancement. 
Japan,J16JP12008-24.1,I wrote it already.I wrote it already.I wrote it already.I wrote it already.I wrote it already. 0
France,J16FR10549-9.1,Image quality and intuitive commands. Ease of use and ergonomy. Contracts somewhat high and purchase prices not always competitive in terms of equivalent services
China,CNB0099.3,The quality is good and it is quite responsive. The interface is quite straightforward and the failure rate is quite high with the software. The quality is OK and operation is tolerable. The after-sales service is good as they are able to come quickly to fix problems. 
UK,J16UK10610-16.1,"Image quality, innovation, reliable "
India,INE231.3,It has powerful transducers with greater extent of penetration. 
USA,J16US16758-5.2,"Good imaging quality, well integrated with internal IS "
Germany,J16DE11720-15.1,"Good service, onsite service, good image quality. Relatively expensive."
India,INF212.2,C-Aarm by GE is is also having high definition display. It gives high resolution images.  
India,INA00100.1,this machine is durable and long lasting. even after running for longer duration the machine doesn't heat up 
USA,J16US16039-2.2,"excellent image quality, user interface none"
USA,J16US10165-16.2,Seems ok. Don't have as much experience Seems ok. Don't have as much experience
Japan,J16JP10199-8.2,The images are relatively good. Its operability is not bad and it offers good analysis software. 0
Brazil,BZA00153.2,"It has good price with better image quality and is equipped with some good features, but the user interface is not as friendly to new technicians, which I think needs to improve. "
France,J16FR11456-9.1,"Excellent images, easy to use, homogeneity of the fleet. "
India,ING00167.1,cost effective and advance features giving an upper edge to us in terms of hospital productivity 
USA,J16US11241-9.1,easy of use printing images not the highest quality
Germany,J16DE11718-9.2,Worse operation compared to GE. Never had any bad experiences.
USA,J16US10140-5.2,mobility of the c arm joints image quality
USA,J16US16512-15.2,"Excellent image quality, excellent user interface for Expensive"
Japan,J16JP10194-8.2,"When we first purchased it, it started up quickly, was compact and its performance was excellent. 0"
India,INF186.1,Philips Cathlab is one of the best machines in the market. I feel comfortable working with this machine. This is user friendly machine with latest technology. 
USA,J16US13877-5.1,Good integration into our PACS system. Reliability of product I have no negative comment at this time.
UK,J16UK10049-8.1,Good product Reliable None of note
Japan,J16JP10540-6.2,The image quality is good and it is easy to use. They don't seem to offer catered sales methods and the cost performance is bad.
USA,J16US11663-6.2,"good EMR support, good quality, consistent none"
India,IND0097.3,products offered are very reliable and trustworthy. quality of results they produce is simply awesome. 
Japan,J16JP12102-25.1,They have a long history. They do not offer equipment suited for CTO and OptiCross is not great either.
USA,J16US10654-9.1,Cost/benefit ratio good Can be costly with multiple units
China,CNA0074.2,It can display multiple images simultaneously and on the same screen in real time.The images have high resolutions.The machine is easy to be interfered. 
France,J16FR11407-9.1,"Adapted to emergency, easy to use and handle, introduction of double probe. Missing Doppler; touch screen."
USA,J16US12968-2.1,They have good quality images and some of the wireless features are convenient. The equipment itself seems bulky and more difficult to move and adjust than it should be.
India,INE599.3,Reduced exam time and high storage capacity of the system is the reason. 
China,CNE0476.1,"A single photon emission computed tomography (SPECT) consists of a probe, electronics circuit, a left-lateral imaging rack, a patient bed, and a computer acquisition and processing workstation. The imaging principle of the SPECT is the same as that of the CT. They both need to use an image reconstruction method to obtain the image of the desired plane. Using known projections of radioactive counting in different directions to find the distribution of the radioactive counting for each point within the object is called image reconstruction.  "
Germany,J16DE12370-1.1,"Good solution, good ergonomics, good network, long experience. Very expensive PAC's"
France,J16FR10512-6.1,"Reliable machines, adaptable, somewhat simple to use. Good imaging standard. Siemens seems a bit better for imagery of fine slices for the middle ear."
France,J16FR10548-8.1,Quality images. Ergonomic. Intuitive. Can be moved to the patient's bedside easily. Price.
UK,J16UK10058-9.1,No specific comments but happy to answer further questions via telephone No specific comments but happy to answer further questions via telephone
France,J16FR10030-9.1,"Very good device, high performing and reliable Perhaps the price"
China,CND0149.1,It occupies a lot of space and is difficult to move. The brand has a great cost performance. The after-sales service is good during the warranty period.  
Germany,J16DE12350-3.1,"Good client service, close to location, competence "
China,CNE0179.3,"good imaging effect, easy and convenient operation. clear images. We are using it now. That's it. Colleagues generally think the images are clear. Other hospitals also use this brand.  "
USA,J16US14417-1.1,Wonderful reliability More complex to use
India,INE131.1,Highly reliable system and the results help us to deduce the most accurate clinical decisions. It has improved patient care. 
Germany,J16DE10597-9.2,"No positive comments so far. Older equipment, poor images."
USA,J16US15374-2.2,"low cost poor image quality, difficult to integrate with our pacs"
France,J16FR11305-1.1,"Easy to use, very good imaging, usability. "
India,INE209.1,It provide high-quality patient care with compact system. 
China,CNE0352.2,"Clear images, fast scanning speed, low radiation dosage, comprehensive post processing system. The after-sales service is satisfactory. Satisfy the needs of CTA examination on various parts.  "
Japan,J16JP11170-6.1,It is possible to customize it. The fact that the syngo operability is uniform made it easy to use. My feeling is that it is present in too many facilities.
UK,J16UK12056-1.1,Generally very responsive to when there is a problem Simply too many problems Too much down time Systems fail Image quality is poor Screens poor
China,CNE0253.1,"The cost performance index of the product, including operability, technology maturity, market share, and so on.  But considering the overall public relations, I can't 100% recommend it. I think 8 points is appropriate. "
Brazil,BZB33.2,"Well, it's good for what I've heard, good opinions about their characteristics and functions so definitely 8 "
Germany,J16DE10499-5.1,"Compatibility with other solutions such, e. g. navigation- good support in case of technical failure. Complicated operation, rel. extensive training."
India,ING0098.3,They provide good technology and good Service support to their customers 
China,CND0263.1,The scanning speed is faster than other brands. The resolution is higher. The images are better. There are seldom mistakes.  
USA,J16US13898-5.1,easy to use print is not reliable
China,CNE0126.2,Syngo sales staff and maintenance staff are nice. The operation is easy. The price is reasonable. The images are clear and easy to identify. It is good for clinical diagnosis and treatment.  
Japan,J16JP10629-6.1,"The cost performance and usability are good. Images are also good, and my colleagues also rate it highly. 0"
France,J16FR10629-1.1,"Usability, easy to use, responsive after-sales service. "
Germany,J16DE12782-15.1,Low radiation exposure. A bit cumbersome to use.
Germany,J16DE10443-15.1,"Precise, safe, precision technology. "
China,CND0164.1,The interface is simple and user-friendly and is easy to use. The equipment is quite stable and it does not have problems often. The service is also quite good. 
UK,J16UK11135-9.1,Great application specialist support Not as much improvement in recent us equipment as others
France,J16FR11546-4.2,Rich variety and adaptability of all the pricing. Imaging at the lower end of the range is not good.
USA,J16US15661-5.2,no issues - it works fine no issues - it works fine
France,J16FR11478-6.2,"Very aggressive competition on the commercial sector likely to adapt its offer according to the needs and conditions of the market. Very innovative equipment, very high-performing thus very expensive."
Japan,J16JP11455-5.2,"It is compact, so it can be used in small operating rooms. Image quality is good. Recording video is easy. There is a large enlargement/reduction range. 0"
China,CNE0120.1,"Brand effect. It is worthwhile to recommend. Maybe some individual dealers only care about their own benefits and are short sighted, which causes some after-sales problems. Probably because the equipments we bought were minor equipments, they didn't pay much attention to it.  "
Germany,J16DE10154-2.1,"Good operation, easy to start. Starting the software is occasionally slow."
China,CNE0069.1,"Once I visited a friend working in another hospital. He is the radiologist. When he was operating the CT scan for his patient, I think the images, slices and operating flow are all good.  "
Brazil,BZC235.1,One of the finest and most sophisticated mechanisms is provided by Philips 
India,INE126.2,The scanner is able to get detail filled images at one go and eliminates the nee for rescans. It increases our throughput. 
UK,J16UK11972-15.2,Single plane system and easy to operate. We did not have goof technical support from Philips. The system broke down very frequently.
China,CNE0596.1,"So far, GE has established 16 direct sales outlets and liaison offices in the main regions in China. They are located in Beijing, Tianjin, Nanjing, Suzhou, Nantong, Shanghai, Hangzhou, Guangzhou, Chongqing, Chengdu, Kunming, Xi 'an, Dalian, Wenzhou, Urumqi and Harbin. Plus distribution outlets, its service outlets cover most of the major provinces.  "
USA,J16US10773-9.2,Excellent images but less intuitive software none
USA,J16US13543-9.2,not familiar with this equipt so I hionestly can not comment none
Germany,J16DE10100-9.1,"Good functionality, good resolution, flexible. Unclear user interface design."
Brazil,BZC432.1,Support in terms of immediate issues like scalability. 
India,INE571.3,It is a highly versatile system which gives proven image quality. It can be customized easily to match the workflow and also the budget. 
USA,J16US14527-3.1,Very effective communication from service representatives expensive
Brazil,BZA00177.1,The machine is portable and highly efficient and the energy consumption of the machine is also low . But the support team does not meet my expectations. 
USA,J16US12893-2.2,None The amount of fraud in U.S. health-care continues to grow and makes it hard to find valid and truthful information.
UK,J16UK10312-1.2,Low radiation dose. Slow installation.
India,INA00113.1,this product has a key differentiator that it can operate even during low voltage 
Japan,J16JP10859-9.1,Image performance is excellent and it has innovative technology. The price is relatively expensive
UK,J16UK10844-8.1,"Good range of options, easy to use None."
USA,J16US17105-4.1,They are effective at integrating their technology Costs of products
Germany,J16DE12309-8.1,Very robust and good display. None.
France,J16FR11325-9.1,Quality of the service The new devices are leased and I like them less in terms of image quality and usage.
France,J16FR11536-9.1,"The installation of the material is easy, very intuitive, the various users adopted it very quickly. Don't see"
India,INA0028.3,company person are good in dealing with the services and their people are knowledgeable about the company and product and good services provided by them & they are friendly.. 
Japan,J16JP10824-1.1,Operability is excellent. Image quality is well-balanced with dosage. ?
Japan,J16JP11158-8.2,They provided periodic follow-up. The maintenance was poor and in some cases we were unable to use the equipment for a long time.
China,CND0323.2,It is the best among all the products with molecular technology. It is very effective in controlling patient's condition. Occasionally there are problems with parts but there are always someone coming to fix it. 
USA,J16US13082-1.2,"Modern, contemporary technology Poor picture quality"
France,J16FR10721-4.1,"Good imaging. Device reliability. Competitive price range, development. Mediocre usability. Own software only, no treatment with word text, for example."
Japan,J16JP10347-6.2,"It reduced noise and increased SNR, achieving improved image quality and shortened testing time. 0"
UK,J16UK10339-8.1,High quality product with good picture quality. Expensive.
Brazil,BZC462.1,More profitable and easy to use. 
Japan,J16JP10210-8.2,Its user interface is good. The price is affordable. The image quality is not as good as that of Philips. 
Brazil,BZC0138.4,I really appreciate the flexibility of the machine 
India,INF113.2,We are also using another Ultrasound machine for all general purposes. This is also from Mindray which performs good. We get HD clarity of the display and it makes our work easier. Even doctors are happy to see the report.  
UK,J16UK12004-25.1,Image quality.  Ongoing hardware & software development & improvement 
Japan,J16JP11191-9.2,There is a good balance between the image quality and the price.It is Japanese-made. Nothing in particular.
USA,J16US12610-9.1,Consistent quality Repair issues are problematic
Germany,J16DE13034-6.2,"Good service, good and competent employees, very helpful "
USA,J16US15729-3.1,easy to use. good image quality need more slices on fluoro biopsy mode
USA,J16US10106-9.1,Great image quality and easy to use. The probes can easily be damaged if proper care is not taken.
China,CNE0368.3,The performance of the machine is good and can be easily controlled. The machine is very easy to operate. The software continue to be developed to solve any clinical problems occurred. Sometimes the software development is faster than clinical use. 
USA,J16US17101-4.1,"High image quality, reliable, good low dose tecnique "
USA,J16US10708-9.1,"Easy to use in clinical setting, decent image quality, good value, simple controls Outdated image quality. No needle enhancement"
Japan,J16JP12086-6.1,"It has functions that other companies' systems do not have. There are specialized sequences for special examinations, which is good. Sometimes the content of an examination is not suitable for the hospital, depending on the strength of the magnetic field."
Germany,J16DE11196-1.1,Good service and professional support High costs for service
Japan,J16JP12332-25.1,"Image quality, usability, and durability are good. Also, it is widely used by a large number of facilities, so there are no problem when one is transferred to another hospital. 0"
Germany,J16DE12486-15.1,Good image quality. Frequent repairs.
France,J16FR11568-6.2,"Reliable quality images, easy software and post-work. "
Germany,J16DE11283-9.1,"Good handling, good image quality, good onsite service, good price/performance ratio, reliable. None."
